excel_row,stop_id,id,id_num,csv_stop_id,retained_rows,unique_month_hours,station_latitude,station_longitude,weather_latitude,weather_longitude,max_coordinate_offset_degrees
55,382,382,382,382,288,288,46.6959,14.7374,46.70000000000021,14.700000000000092,0.03739999999990751
56,414,414,414,414,288,288,47.5433,9.7506,47.50000000000022,9.80000000000011,0.04940000000011047
57,425,425,425,425,288,288,47.3323,16.0609,47.30000000000022,16.10000000000009,0.03910000000009006
58,441,441,441,441,288,288,46.6193,13.983,46.60000000000021,14.000000000000096,0.019299999999795148
59,448,448,448,448,288,288,50.5235,5.6659,50.50000000000026,5.700000000000125,0.034100000000125696
60,459,459,459,459,288,288,51.1798,3.1136,51.20000000000027,3.1000000000001307,0.020200000000272667
61,461,461,461,461,288,288,51.1433,4.0925,51.10000000000027,4.100000000000131,0.04329999999973211
62,464,464,464,464,288,288,51.0617,2.6749,51.10000000000027,2.7000000000001303,0.03830000000026956
63,489,489,489,489,288,288,50.8808,4.2539,50.90000000000027,4.30000000000013,0.04610000000013059
64,497,497,497,497,288,288,50.1727,5.7903,50.20000000000026,5.800000000000125,0.027300000000259672
65,499,499,499,499,288,288,49.9785,5.6726,50.000000000000256,5.700000000000125,0.027400000000125324
66,500,500,500,500,288,288,49.8893,5.3578,49.900000000000254,5.400000000000127,0.04220000000012725
67,506,506,506,506,288,288,50.7181,4.5839,50.700000000000266,4.600000000000129,0.018099999999733996
68,523,523,523,523,288,288,51.2504,4.3842,51.300000000000274,4.40000000000013,0.0496000000002752
69,528,528,528,528,288,288,51.2211,3.4094,51.20000000000027,3.400000000000131,0.021099999999727004
70,542,542,542,542,288,288,50.9289,5.5194,50.90000000000027,5.500000000000126,0.02889999999973014
71,543,543,543,543,288,288,50.9269,3.6239,50.90000000000027,3.600000000000131,0.026899999999734803
72,544,544,544,544,288,288,50.9243,4.8544,50.90000000000027,4.900000000000128,0.045600000000128205
73,546,546,546,546,288,288,50.8694,4.5451,50.90000000000027,4.50000000000013,0.04509999999987002
74,563,563,563,563,288,288,50.635,5.8147,50.60000000000026,5.800000000000125,0.034999999999740794
75,564,564,564,564,288,288,50.6077,3.2724,50.60000000000026,3.300000000000131,0.02760000000013063
76,567,567,567,567,288,288,50.5564,4.28,50.60000000000026,4.30000000000013,0.043600000000260763
77,568,568,568,568,288,288,50.5438,3.5567,50.50000000000026,3.600000000000131,0.043799999999734496
78,570,570,570,570,288,288,50.4859,4.8907,50.50000000000026,4.900000000000128,0.014100000000262014
79,578,578,578,578,288,288,50.3602,5.6741,50.40000000000026,5.700000000000125,0.039800000000262514
80,586,586,586,586,288,288,49.7703,5.0777,49.80000000000025,5.100000000000128,0.02970000000025408
81,588,588,588,588,288,288,51.1152,4.3708,51.10000000000027,4.40000000000013,0.02920000000013001
82,590,590,590,590,288,288,50.7785,4.3006,50.80000000000027,4.30000000000013,0.021500000000266084
83,591,591,591,591,288,288,50.7753,3.1946,50.80000000000027,3.2000000000001307,0.02470000000026573
84,593,593,593,593,288,288,50.4521,3.806,50.50000000000026,3.8000000000001313,0.0479000000002614
85,600,600,600,600,288,288,51.4737,4.7262,51.50000000000028,4.700000000000129,0.026300000000276214
86,609,609,609,609,288,288,51.2892,4.3039,51.300000000000274,4.30000000000013,0.010800000000273258
87,635,635,635,635,288,288,51.1204,3.2924,51.10000000000027,3.300000000000131,0.020399999999725082
88,641,641,641,641,288,288,50.9366,5.3136,50.90000000000027,5.300000000000127,0.03659999999972996
89,644,644,644,644,288,288,50.7412,3.5576,50.700000000000266,3.600000000000131,0.04240000000013122
90,647,647,647,647,288,288,50.6926,5.6319,50.700000000000266,5.600000000000126,0.03189999999987414
91,658,658,658,658,288,288,51.0712,5.1473,51.10000000000027,5.100000000000128,0.047299999999872
92,667,667,667,667,288,288,50.7158,5.0627,50.700000000000266,5.100000000000128,0.03730000000012801
93,674,674,674,674,288,288,50.4753,4.4832,50.50000000000026,4.50000000000013,0.02470000000026573
94,677,677,677,677,288,288,49.7035,5.6242,49.70000000000025,5.600000000000126,0.024199999999874322
95,679,679,679,679,288,288,50.8963,3.1758,50.90000000000027,3.2000000000001307,0.02420000000013056
96,680,680,680,680,288,288,51.328,3.2193,51.300000000000274,3.2000000000001307,0.027999999999728686
97,692,692,692,692,288,288,50.5546,4.845,50.60000000000026,4.800000000000129,0.04540000000025657
98,694,694,694,694,288,288,50.5043,4.1791,50.50000000000026,4.200000000000131,0.020900000000130703
99,697,697,697,697,288,288,50.4601,5.9975,50.50000000000026,6.000000000000124,0.039900000000265834
100,702,702,702,702,288,288,49.6387,5.9028,49.60000000000025,5.900000000000125,0.038699999999749934
101,704,704,704,704,288,288,50.1439,5.0786,50.10000000000026,5.100000000000128,0.04389999999974492
102,708,708,708,708,288,288,51.2982,4.9744,51.300000000000274,5.000000000000128,0.025600000000127743
103,709,709,709,709,288,288,51.2443,4.7563,51.20000000000027,4.800000000000129,0.04429999999972978
104,717,717,717,717,288,288,51.0411,3.7524,51.00000000000027,3.8000000000001313,0.04760000000013109
105,730,730,730,730,288,288,50.6157,5.3967,50.60000000000026,5.400000000000127,0.01569999999973959
